,track,artist,duration (ms),popularity,uri,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time signature,labels
31,Angel's Song,Arlo Parks,197243,58,spotify:track:5hXTMmVXz1Ablgu34BkTz1,0.693,0.195,11,-15.278,0.0446,0.894,0.0325,0.126,0.315,116.725,4,0
32,Angry Chair,Alice In Chains,288400,22,spotify:track:6H0wgcQCOuLYqDuNhMW8KL,0.313,0.973,8,-3.855,0.109,0.0642,1.22e-06,0.0581,0.118,107.3,4,2
33,Anthem,EDX,158483,44,spotify:track:1SSAvErVyid5OXzmtGZKkg,0.664,0.86,7,-4.505,0.0345,0.00152,0.894,0.197,0.249,121.991,4,1
34,Anthem of Our Dying Day,Story Of The Year,216026,56,spotify:track:4sPJgy0CksvmXp9jC0W4gv,0.388,0.8,9,-6.33,0.0783,0.0211,0.0,0.212,0.357,194.74400000000003,3,2
35,Are You Gonna Be My Girl,Jet,213800,75,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,0.0855,0.00148,0.000582,0.152,0.537,105.046,4,1
36,As I Sleep (feat. Charlee),Tobtok,193471,55,spotify:track:72qlZsoVPpyFxVjL6GUuYI,0.6940000000000001,0.8240000000000001,8,-6.306,0.161,0.0195,0.0426,0.327,0.202,123.014,4,2
37,Ashes to Ashes,Warpaint,310226,51,spotify:track:2lJa0SY7vZpvJ7QDFanOuZ,0.696,0.871,1,-6.482,0.0357,0.186,0.0282,0.173,0.8,118.938,4,0
38,Atlavík,Hugar,155733,53,spotify:track:6WdO6Ds95sLALCqCOfbDQh,0.535,0.147,2,-25.141,0.0382,0.867,0.797,0.0825,0.238,126.823,4,3
39,Auburn Sky,Toledo Rains,162829,48,spotify:track:42BtxDRqFTbE6Jb6rd9QOZ,0.265,0.035,4,-26.502,0.0359,0.906,0.89,0.0932,0.0651,132.972,4,3
40,Awaken,William Duhamel,129936,55,spotify:track:00ZtJgQax06A96l8sMcmlB,0.346,0.0943,2,-13.632,0.0362,0.929,0.918,0.102,0.109,127.006,3,3
41,Away From Me,Puddle Of Mudd,238466,0,spotify:track:4wzaTdhmBgpch7IXu3CskA,0.396,0.93,8,-2.939,0.1,0.00061,0.0,0.168,0.195,154.77700000000004,4,2
42,Back Where I Belong (feat. Avicii),Otto Knows,174202,56,spotify:track:78W8wiUIlQ2SnWY9TVowKZ,0.4970000000000001,0.865,0,-3.19,0.0644,0.0306,0.0679,0.443,0.595,125.96,4,2
43,Back+,Ton Snijders,198746,26,spotify:track:6MrVWgw16iHBGRntjRkGQq,0.383,0.0197,7,-28.192,0.0528,0.993,0.944,0.121,0.113,67.555,3,3
44,Bad Feeling,Muzz,157930,39,spotify:track:1qUaWLUot3Iik95S09cdSZ,0.512,0.352,5,-9.093,0.0354,0.351,0.74,0.106,0.275,82.943,4,0
45,Bad Kingdom,May,193220,57,spotify:track:7vCuaxRIKElwgjSAo5REkw,0.401,0.199,9,-14.409,0.0355,0.934,0.0064,0.112,0.0744,118.351,4,0
46,Bad Timing,Arlo Day,254886,30,spotify:track:2KSCegx6TosQQEgmhJKNQa,0.471,0.289,6,-9.784,0.0258,0.6890000000000001,0.000535,0.0865,0.225,146.352,4,0
47,Ballad of the Dying Man,Father John Misty,290736,0,spotify:track:65w8nArxPq2EzOAhteymf0,0.399,0.443,5,-9.168,0.0272,0.848,0.000406,0.0899,0.265,139.643,4,0
48,Balloon,YuMe,143212,34,spotify:track:6a9DN96EWRc56Lwl5YD7KL,0.408,0.00518,5,-29.142,0.0355,0.987,0.929,0.12,0.0381,72.291,3,3
49,Bat Country,Avenged Sevenfold,311813,39,spotify:track:6irNz2hSXvd2QJG0vXyBFR,0.541,0.968,0,-4.129,0.0396,0.000248,8.28e-06,0.423,0.505,125.04,4,2
50,Bayybe 07,Bilo 503,114195,50,spotify:track:08qO8i2K0Hxl0h8PIncyuH,0.44,0.384,7,-12.331,0.0453,0.8270000000000001,0.934,0.156,0.0912,127.938,4,3
51,Be My Mistake,The 1975,256688,39,spotify:track:0AG2l0IboWNSwjUkMr2Aq7,0.5720000000000001,0.155,6,-14.405,0.0344,0.835,0.000137,0.0906,0.0949,109.923,3,0
52,Beautiful Life,Lost Frequencies,161463,31,spotify:track:2s25Z079T5KRzfqEQRMQQ4,0.732,0.52,2,-6.684,0.0376,0.127,0.0347,0.139,0.339,119.979,4,1
53,Beautiful Night,Burden Brothers,259529,38,spotify:track:4zhRVs7eqgdroy5E3kKEs2,0.531,0.892,7,-4.54,0.0582,0.000508,0.024,0.144,0.599,130.13299999999998,4,2
54,Beekweide,Job Roggeveen,219215,34,spotify:track:199PI6mx1IFrDk8ZMtNTyX,0.321,0.11,8,-23.63,0.0345,0.984,0.963,0.115,0.173,73.914,4,3
55,Before You Go,Lewis Capaldi,215106,85,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.8580000000000005,0.0573,0.604,0.0,0.0885,0.183,111.881,4,0
56,Bennie And The Jets - Remastered 2014,Elton John,322548,0,spotify:track:3iJxloILmOu2NIRZ0OGyui,0.6659999999999999,0.6679999999999999,0,-7.961,0.0523,0.251,5.77e-06,0.499,0.765,132.666,4,1
57,Better Than Today,Rhys Lewis,230353,60,spotify:track:6MLHg35rlksBc5OBcdZvJi,0.387,0.234,0,-8.861,0.0373,0.736,0.0,0.084,0.408,78.65,4,0
58,Better Together,Jack Johnson,207680,72,spotify:track:4VywXu6umkIQ2OS0m1I79y,0.868,0.347,5,-9.529,0.0536,0.308,2e-05,0.11,0.659,110.059,4,1
59,Betty,Wilson Trouvé,161750,32,spotify:track:0yBM8cOHjb6iiMI2eM8pIc,0.171,0.185,9,-19.651,0.0348,0.89,0.94,0.101,0.264,142.694,4,3
60,Billinghurst,Jeremy Olander,456585,0,spotify:track:6B2jQL05apmJlDZtPIxD3R,0.769,0.701,5,-9.089,0.062,0.0305,0.85,0.0929,0.168,123.011,4,2
61,Bird,Billie Marten,220640,55,spotify:track:6DzvC1VHpyTFfLBbAYBa7W,0.235,0.187,6,-12.754,0.0347,0.988,0.00197,0.106,0.118,85.962,4,0
62,Bison on the Plains,Grandaddy,308800,32,spotify:track:0e0hVla9NkILk2JWOwVCMW,0.476,0.522,9,-8.158999999999999,0.0281,0.285,0.0127,0.193,0.0973,133.874,4,0
63,Black Car,Beach House,251160,0,spotify:track:7ESnexsnylx85YfT6ZiSun,0.407,0.5489999999999999,9,-10.244000000000002,0.0293,0.344,0.901,0.111,0.32,77.473,4,0
64,Blackout,(Hed) P.E.,233266,37,spotify:track:6yTnvHRhUuuaoxy4dHzLGo,0.5479999999999999,0.8640000000000001,1,-6.257999999999999,0.0557,0.00016,0.00262,0.0354,0.5,95.569,4,2
65,Blame,Manse,180937,53,spotify:track:3TSZpRzSEKL1dFfpd1JDoF,0.612,0.68,0,-4.925,0.0346,0.619,0.0,0.0786,0.346,127.909,4,2
66,Blaster,Marc Benjamin,159523,0,spotify:track:1fMZR4DD2mE0iXginD9fOc,0.667,0.857,2,-4.729,0.0468,0.0326,0.464,0.27,0.301,125.946,4,2
67,Bleed American,Jimmy Eat World,181493,63,spotify:track:61XspFITuKmAlYdQacNCbF,0.438,0.938,6,-5.6110000000000015,0.094,0.00842,1.08e-06,0.8059999999999999,0.584,160.21200000000005,4,2
68,Bloodbuzz Ohio,SOAK,279967,46,spotify:track:2pfkaHd8arhESSxyJAou6g,0.441,0.268,6,-8.173,0.0308,0.715,1.49e-06,0.11,0.057,140.07299999999998,4,0
69,Bloom,Hilder Sky,121069,52,spotify:track:5DP6ow4t5Mmfge0fMRhSJD,0.249,0.129,4,-18.167,0.0324,0.945,0.8390000000000001,0.17,0.253,70.59,5,3
70,Bloom Innocent,Fink,416353,20,spotify:track:7zNT9GE070fYjnhx6TFWnQ,0.519,0.236,2,-18.378,0.0362,0.931,0.133,0.127,0.283,80.008,4,0
